target,n_imputed,rmse_base,rmse_overlay,rmse_diff_base_minus_overlay,mae_base,mae_overlay,mae_diff_base_minus_overlay,r2_base,r2_overlay,r2_diff_overlay_minus_base
l5ltr,1691,0.5245601282341986,0.5058282789103946,0.018731849323804006,0.40357212105018014,0.39211023265098255,0.011461888399197595,0.4860259900988563,0.5220782276901066,0.03605223759125031
s1ltr,1691,0.5370548047672447,0.5160937818116509,0.020961022955593767,0.4199694008778479,0.40304147411140023,0.016927926766447665,0.46492841198892987,0.5058805708174756,0.04095215882854575
s2ltr,1691,0.5152807366483002,0.49491031416713976,0.020370422481160444,0.39507185893231317,0.37832287655694996,0.01674898237536321,0.5027820485810148,0.5413176852864108,0.03853563670539595
s3ltr,1691,0.535504327598568,0.5113803875901018,0.024123940008466183,0.42408311468373383,0.398012800522739,0.026070314160994812,0.48671546229958007,0.5319197167395899,0.04520425444000986
c2ppl,1543,0.11167565092227431,0.14458322218732209,-0.03290757126504777,0.04208550778442749,0.07330949029903944,-0.031223982514611948,0.33211926620358323,-0.11948358284700977,-0.451602849050593
c3ppl,1164,0.19924585707721804,0.21851176604703512,-0.019265908969817086,0.04408551771769818,0.09017852755244245,-0.046093009834744264,0.6542194305531985,0.584116548506384,-0.07010288204681459
c4ppl,819,0.32385262201229914,0.3339397864623443,-0.01008716445004515,0.11069676191779138,0.15394399139543447,-0.04324722947764309,0.5676636983667751,0.5403119667673704,-0.02735173159940474
c5ppl,1045,0.5632479436701376,0.5930717955264334,-0.02982385185629577,0.3664695856673866,0.39442964511339745,-0.027960059446010876,0.5442043038779076,0.49465784014593517,-0.04954646373197247
c6ppl,1396,0.6146156027935202,0.6439755630389997,-0.02935996024547949,0.44950733141223753,0.4890094985998633,-0.03950216718762578,0.519115767297216,0.47207509526648195,-0.04704067203073403
c7ppl,1579,0.5905395453144349,0.6377041905007743,-0.04716464518633945,0.4283822092019432,0.4940009011525455,-0.06561869195060233,0.5743309253088948,0.5036218336575171,-0.07070909165137773
c8ppl,1614,0.571911642317143,0.6152067099366565,-0.043295067619513516,0.40155235733986916,0.46688365830567835,-0.06533130096580919,0.6049826237229785,0.5429113344200033,-0.06207128930297523
t1ppl,1626,0.6086987899839816,0.6447943989870626,-0.03609560900308095,0.4461484743702611,0.5074025946766652,-0.061254120306404036,0.5576392859166914,0.5036201011536916,-0.05401918476299983
t2ppl,1624,0.656402800364276,0.6806149149222409,-0.024212114557964903,0.49506559517186394,0.547415482559301,-0.05234988738743701,0.4929308747378033,0.4548333991787703,-0.03809747555903298
t3ppl,1583,0.6732465854732554,0.6848308367435793,-0.011584251270323809,0.5116886295271132,0.5460821095235123,-0.03439347999639908,0.46572649276665246,0.44718230487559407,-0.018544187891058383
t4ppl,1589,0.650573762988725,0.6372442924434555,0.013329470545269562,0.46920205779429913,0.49606170118455245,-0.026859643390253318,0.4556385035279824,0.4777166046950446,0.022078101167062214
t5ppl,1595,0.5989228192800827,0.59557980630307,0.0033430129770127825,0.42915627856017746,0.4571108528088813,-0.027954574248703845,0.4865178812914279,0.4922340991858052,0.005716217894377262
t6ppl,1601,0.5733988537610932,0.5718157327460728,0.00158312101502045,0.40879925419817875,0.43729675818772185,-0.028497503989543094,0.482863535804983,0.48571516141063276,0.002851625605649777
t7ppl,1627,0.599656641714341,0.5729766420944471,0.026679999619893868,0.4332552649980593,0.43456919938234295,-0.001313934384283677,0.4070896546890169,0.45867564446082043,0.05158598977180351
t8ppl,1638,0.5810657489071155,0.5477183871182342,0.03334736178888131,0.42540231731211964,0.40851005071248764,0.016892266599632,0.376149358130365,0.4457002096626802,0.06955085153231522
t9ppl,1652,0.5403946394347866,0.5170899117625511,0.02330472767223546,0.38108093114558506,0.37902348594667873,0.002057445198906327,0.42785965997929076,0.4761431405285198,0.04828348054922904
t10ppl,1663,0.5179830355207,0.4941168700823865,0.023866165438313547,0.3559773033624823,0.3504233569600096,0.005553946402472698,0.4375884472839815,0.4882209263113625,0.050632479027380994
t11ppl,1677,0.47805244896332355,0.4675611297891392,0.010491319174184333,0.320607883957885,0.3257878556026764,-0.005179971644791448,0.4825308844309907,0.5049943697230461,0.02246348529205544
